วันเดือนปี,เลขที่เอกสาร,รายการ,RE,JR,JV,PP,จำนวนเงิน,Dr,Cr,หมายเหตุ
08/02/2569,JV-260139,ปรับปรุงค่าเสื่อมราคาอุปกรณ์,,,ปรับปรุงบัญชีทั่วไป,,2906.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 39
09/02/2569,JR-260140,จ่ายค่าจ้างวิทยากรอบรม,,ปรับปรุงบัญชีเงินสด,,,2943.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 40
10/02/2569,RC-260141,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2980.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 41
11/02/2569,PV-260142,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,3017.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 42
12/02/2569,JV-260143,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,3054.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 43
13/02/2569,JR-260144,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3091.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 44
14/02/2569,RC-260145,รับเงินสนับสนุนกิจกรรมวิชาการ,รับเงิน,,,,3128.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 45
15/02/2569,PV-260146,จ่ายค่าซ่อมบำรุงอาคาร,,,,จ่ายเงินออก,3165.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 46
16/02/2569,JV-260147,ปรับปรุงค่าเสื่อมราคาอุปกรณ์,,,ปรับปรุงบัญชีทั่วไป,,3202.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 47
17/02/2569,JR-260148,จ่ายค่าจ้างวิทยากรอบรม,,ปรับปรุงบัญชีเงินสด,,,3239.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 48
18/02/2569,RC-260149,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3276.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 49
19/02/2569,PV-260150,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,3313.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 50
20/02/2569,JV-260151,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,3350.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 51
21/02/2569,JR-260152,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3387.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 52
22/02/2569,RC-260153,รับเงินสนับสนุนกิจกรรมวิชาการ,รับเงิน,,,,3424.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 53
23/02/2569,PV-260154,จ่ายค่าซ่อมบำรุงอาคาร,,,,จ่ายเงินออก,3461.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 54
24/02/2569,JV-260155,ปรับปรุงค่าเสื่อมราคาอุปกรณ์,,,ปรับปรุงบัญชีทั่วไป,,3498.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 55
25/02/2569,JR-260156,จ่ายค่าจ้างวิทยากรอบรม,,ปรับปรุงบัญชีเงินสด,,,3535.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 56
26/02/2569,RC-260157,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3572.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 57
27/02/2569,PV-260158,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,3609.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 58
28/02/2569,JV-260159,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,3646.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 59
01/03/2569,JR-260160,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3683.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 60
02/03/2569,RC-260161,รับเงินสนับสนุนกิจกรรมวิชาการ,รับเงิน,,,,3720.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 61
03/03/2569,PV-260162,จ่ายค่าซ่อมบำรุงอาคาร,,,,จ่ายเงินออก,3757.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 62
04/03/2569,JV-260163,ปรับปรุงค่าเสื่อมราคาอุปกรณ์,,,ปรับปรุงบัญชีทั่วไป,,3794.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 63
05/03/2569,JR-260164,จ่ายค่าจ้างวิทยากรอบรม,,ปรับปรุงบัญชีเงินสด,,,3831.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 64
06/03/2569,RC-260165,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3868.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 65
07/03/2569,PV-260166,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,3905.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 66
08/03/2569,JV-260167,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,3942.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 67
09/03/2569,JR-260168,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3979.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 68
10/03/2569,RC-260169,รับเงินสนับสนุนกิจกรรมวิชาการ,รับเงิน,,,,4016.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 69
11/03/2569,PV-260170,จ่ายค่าซ่อมบำรุงอาคาร,,,,จ่ายเงินออก,4053.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 70
12/03/2569,JV-260171,ปรับปรุงค่าเสื่อมราคาอุปกรณ์,,,ปรับปรุงบัญชีทั่วไป,,4090.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 71
13/03/2569,JR-260172,จ่ายค่าจ้างวิทยากรอบรม,,ปรับปรุงบัญชีเงินสด,,,4127.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 72
14/03/2569,RC-260173,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,4164.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 73
15/03/2569,PV-260174,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,4201.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 74
16/03/2569,JV-260175,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,4238.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 75
17/03/2569,JR-260176,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,4275.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 76
18/03/2569,RC-260177,รับเงินสนับสนุนกิจกรรมวิชาการ,รับเงิน,,,,4312.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 77
19/03/2569,PV-260178,จ่ายค่าซ่อมบำรุงอาคาร,,,,จ่ายเงินออก,4349.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 78
20/03/2569,JV-260179,ปรับปรุงค่าเสื่อมราคาอุปกรณ์,,,ปรับปรุงบัญชีทั่วไป,,4386.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 79
21/03/2569,JR-260180,จ่ายค่าจ้างวิทยากรอบรม,,ปรับปรุงบัญชีเงินสด,,,4423.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 80
22/03/2569,RC-260181,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,4460.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 81
23/03/2569,PV-260182,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,4497.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 82
24/03/2569,JV-260183,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,4534.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 83
25/03/2569,JR-260184,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,4571.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 84
26/03/2569,RC-260185,รับเงินสนับสนุนกิจกรรมวิชาการ,รับเงิน,,,,4608.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 85
27/03/2569,PV-260186,จ่ายค่าซ่อมบำรุงอาคาร,,,,จ่ายเงินออก,4645.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 86
28/03/2569,JV-260187,ปรับปรุงค่าเสื่อมราคาอุปกรณ์,,,ปรับปรุงบัญชีทั่วไป,,4682.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 87
29/03/2569,JR-260188,จ่ายค่าจ้างวิทยากรอบรม,,ปรับปรุงบัญชีเงินสด,,,4719.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 88
30/03/2569,RC-260189,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,4756.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 89
31/03/2569,PV-260190,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,4793.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 90
01/04/2569,JV-260191,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,4830.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 91
02/04/2569,JR-260192,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,4867.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 92
03/04/2569,RC-260193,รับเงินสนับสนุนกิจกรรมวิชาการ,รับเงิน,,,,4904.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 93
04/04/2569,PV-260194,จ่ายค่าซ่อมบำรุงอาคาร,,,,จ่ายเงินออก,4941.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 94
05/04/2569,JV-260195,ปรับปรุงค่าเสื่อมราคาอุปกรณ์,,,ปรับปรุงบัญชีทั่วไป,,4978.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 95
06/04/2569,JR-260196,จ่ายค่าจ้างวิทยากรอบรม,,ปรับปรุงบัญชีเงินสด,,,5015.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 96
07/04/2569,RC-260197,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,5052.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 97
08/04/2569,PV-260198,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,5089.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 98
09/04/2569,JV-260199,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,5126.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 99
10/04/2569,JR-260200,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,5163.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 100
11/04/2569,RC-260201,รับเงินสนับสนุนกิจกรรมวิชาการ,รับเงิน,,,,5200.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 101
12/04/2569,PV-260202,จ่ายค่าซ่อมบำรุงอาคาร,,,,จ่ายเงินออก,5237.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 102
13/04/2569,JV-260203,ปรับปรุงค่าเสื่อมราคาอุปกรณ์,,,ปรับปรุงบัญชีทั่วไป,,5274.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 103
14/04/2569,JR-260204,จ่ายค่าจ้างวิทยากรอบรม,,ปรับปรุงบัญชีเงินสด,,,5311.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 104
15/04/2569,RC-260205,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,5348.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 105
16/04/2569,PV-260206,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,5385.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 106
17/04/2569,JV-260207,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,5422.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 107
18/04/2569,JR-260208,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,5459.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 108
19/04/2569,RC-260209,รับเงินสนับสนุนกิจกรรมวิชาการ,รับเงิน,,,,5496.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 109
20/04/2569,PV-260210,จ่ายค่าซ่อมบำรุงอาคาร,,,,จ่ายเงินออก,5533.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 110
21/04/2569,JV-260211,ปรับปรุงค่าเสื่อมราคาอุปกรณ์,,,ปรับปรุงบัญชีทั่วไป,,5570.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 111
22/04/2569,JR-260212,จ่ายค่าจ้างวิทยากรอบรม,,ปรับปรุงบัญชีเงินสด,,,5607.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 112
23/04/2569,RC-260213,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,5644.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 113
24/04/2569,PV-260214,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,5681.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 114
25/04/2569,JV-260215,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,5718.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 115
26/04/2569,JR-260216,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,5755.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 116
27/04/2569,RC-260217,รับเงินสนับสนุนกิจกรรมวิชาการ,รับเงิน,,,,5792.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 117
28/04/2569,PV-260218,จ่ายค่าซ่อมบำรุงอาคาร,,,,จ่ายเงินออก,5829.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 118
29/04/2569,JV-260219,ปรับปรุงค่าเสื่อมราคาอุปกรณ์,,,ปรับปรุงบัญชีทั่วไป,,5866.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 119
30/04/2569,JR-260220,จ่ายค่าจ้างวิทยากรอบรม,,ปรับปรุงบัญชีเงินสด,,,5903.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 120
01/05/2569,RC-260221,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,5940.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 121
02/05/2569,PV-260222,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,5977.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 122
03/05/2569,JV-260223,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,6014.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 123
04/05/2569,JR-260224,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,6051.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 124
05/05/2569,RC-260225,รับเงินสนับสนุนกิจกรรมวิชาการ,รับเงิน,,,,6088.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 125
06/05/2569,PV-260226,จ่ายค่าซ่อมบำรุงอาคาร,,,,จ่ายเงินออก,6125.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 126
07/05/2569,JV-260227,ปรับปรุงค่าเสื่อมราคาอุปกรณ์,,,ปรับปรุงบัญชีทั่วไป,,6162.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 127
08/05/2569,JR-260228,จ่ายค่าจ้างวิทยากรอบรม,,ปรับปรุงบัญชีเงินสด,,,6199.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 128
09/05/2569,RC-260229,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,6236.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 129
10/05/2569,PV-260230,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,6273.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 130
11/05/2569,JV-260231,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,6310.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 131
12/05/2569,JR-260232,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,6347.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 132
