วันเดือนปี,เลขที่เอกสาร,รายการ,RE,JR,JV,PP,จำนวนเงิน,Dr,Cr,หมายเหตุ
04/04/2569,JR-260335,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1995.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 16
05/04/2569,RC-260336,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2048.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 17
06/04/2569,PV-260337,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2101.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 18
07/04/2569,JV-260338,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2154.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 19
08/04/2569,JR-260339,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2207.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 20
09/04/2569,RC-260340,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2260.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 21
10/04/2569,PV-260341,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2313.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 22
11/04/2569,JV-260342,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2366.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 23
12/04/2569,JR-260343,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2419.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 24
13/04/2569,RC-260344,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2472.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 25
14/04/2569,PV-260345,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2525.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 26
15/04/2569,JV-260346,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2578.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 27
16/04/2569,JR-260347,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2631.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 28
17/04/2569,RC-260348,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2684.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 29
18/04/2569,PV-260349,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2737.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 30
19/04/2569,JV-260350,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2790.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 31
20/04/2569,JR-260351,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2843.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 32
21/04/2569,RC-260352,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2896.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 33
22/04/2569,PV-260353,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2949.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 34
23/04/2569,JV-260354,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,3002.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 35
24/04/2569,JR-260355,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3055.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 36
25/04/2569,RC-260356,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3108.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 37
26/04/2569,PV-260357,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,3161.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 38
27/04/2569,JV-260358,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,3214.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 39
28/04/2569,JR-260359,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3267.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 40
29/04/2569,RC-260360,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3320.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 41
30/04/2569,PV-260361,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,3373.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 42
01/05/2569,JV-260362,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,3426.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 43
02/05/2569,JR-260363,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3479.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 44
03/05/2569,RC-260364,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3532.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 45
04/05/2569,PV-260365,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,3585.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 46
05/05/2569,JV-260366,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,3638.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 47
06/05/2569,JR-260367,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3691.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 48
07/05/2569,RC-260368,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3744.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 49
08/05/2569,PV-260369,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,3797.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 50
09/05/2569,JV-260370,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,3850.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 51
10/05/2569,JR-260371,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3903.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 52
11/05/2569,RC-260372,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3956.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 53
12/05/2569,PV-260373,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,4009.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 54
13/05/2569,JV-260374,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,4062.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 55
14/05/2569,JR-260375,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,4115.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 56
15/05/2569,RC-260376,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,4168.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 57
16/05/2569,PV-260377,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,4221.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 58
17/05/2569,JV-260378,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,4274.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 59
18/05/2569,JR-260379,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,4327.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 60
19/05/2569,RC-260380,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,4380.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 61
20/05/2569,PV-260381,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,4433.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 62
21/05/2569,JV-260382,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,4486.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 63
22/05/2569,JR-260383,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,4539.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 64
23/05/2569,RC-260384,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,4592.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 65
24/05/2569,PV-260385,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,4645.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 66
25/05/2569,JV-260386,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,4698.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 67
26/05/2569,JR-260387,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,4751.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 68
27/05/2569,RC-260388,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,4804.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 69
28/05/2569,PV-260389,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,4857.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 70
29/05/2569,JV-260390,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,4910.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 71
30/05/2569,JR-260391,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,4963.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 72
31/05/2569,RC-260392,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,5016.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 73
01/06/2569,PV-260393,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,5069.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 74
02/06/2569,JV-260394,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,5122.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 75
03/06/2569,JR-260395,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,5175.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 76
04/06/2569,RC-260396,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,5228.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 77
05/06/2569,PV-260397,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,5281.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 78
06/06/2569,JV-260398,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,5334.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 79
07/06/2569,JR-260399,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,5387.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 80
08/06/2569,RC-260400,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,5440.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 81
09/06/2569,PV-260401,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,5493.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 82
10/06/2569,JV-260402,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,5546.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 83
11/06/2569,JR-260403,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,5599.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 84
12/06/2569,RC-260404,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,5652.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 85
13/06/2569,PV-260405,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,5705.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 86
14/06/2569,JV-260406,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,5758.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 87
15/06/2569,JR-260407,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,5811.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 88
16/06/2569,RC-260408,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,5864.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 89
17/06/2569,PV-260409,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,5917.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 90
18/06/2569,JV-260410,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,5970.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 91
19/06/2569,JR-260411,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,6023.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 92
20/06/2569,RC-260412,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,6076.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 93
21/06/2569,PV-260413,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,6129.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 94
22/06/2569,JV-260414,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,6182.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 95
23/06/2569,JR-260415,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,6235.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 96
24/06/2569,RC-260416,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,6288.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 97
25/06/2569,PV-260417,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,6341.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 98
26/06/2569,JV-260418,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,6394.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 99
27/06/2569,JR-260419,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,6447.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 100
28/06/2569,RC-260420,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,6500.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 101
29/06/2569,PV-260421,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,6553.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 102
30/06/2569,JV-260422,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,6606.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 103
01/07/2569,JR-260423,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,6659.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 104
02/07/2569,RC-260424,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,6712.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 105
03/07/2569,PV-260425,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,6765.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 106
04/07/2569,JV-260426,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,6818.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 107
05/07/2569,JR-260427,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,6871.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 108
06/07/2569,RC-260428,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,6924.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 109
07/07/2569,PV-260429,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,6977.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 110
08/07/2569,JV-260430,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,7030.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 111
09/07/2569,JR-260431,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,7083.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 112
10/07/2569,RC-260432,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,7136.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 113
11/07/2569,PV-260433,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,7189.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 114
12/07/2569,JV-260434,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,7242.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 115
13/07/2569,JR-260435,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,7295.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 116
14/07/2569,RC-260436,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,7348.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 117
15/07/2569,PV-260437,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,7401.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 118
16/07/2569,JV-260438,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,7454.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 119
17/07/2569,JR-260439,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,7507.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 120
18/07/2569,RC-260440,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,7560.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 121
19/07/2569,PV-260441,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,7613.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 122
20/07/2569,JV-260442,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,7666.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 123
21/07/2569,JR-260443,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,7719.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 124
22/07/2569,RC-260444,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,7772.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 125
23/07/2569,PV-260445,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,7825.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 126
24/07/2569,JV-260446,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,7878.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 127
25/07/2569,JR-260447,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,7931.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 128
26/07/2569,RC-260448,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,7984.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 129
27/07/2569,PV-260449,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,8037.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 130
28/07/2569,JV-260450,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,8090.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 131
29/07/2569,JR-260451,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,8143.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 132
30/07/2569,RC-260452,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,8196.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 133
31/07/2569,PV-260453,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,8249.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 134
01/08/2569,JV-260454,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,8302.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 135
02/08/2569,JR-260455,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,8355.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 136
03/08/2569,RC-260456,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,8408.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 137
04/08/2569,PV-260457,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,8461.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 138
05/08/2569,JV-260458,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,8514.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 139
06/08/2569,JR-260459,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,8567.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 140
