วันเดือนปี,เลขที่เอกสาร,รายการ,RE,JR,JV,PP,จำนวนเงิน,Dr,Cr,หมายเหตุ
26/03/2569,PV-260254,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2221.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 34
27/03/2569,JV-260255,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2258.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 35
28/03/2569,JR-260256,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2295.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 36
29/03/2569,RC-260257,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2332.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 37
30/03/2569,PV-260258,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2369.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 38
31/03/2569,JV-260259,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2406.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 39
01/04/2569,JR-260260,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2443.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 40
02/04/2569,RC-260261,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2480.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 41
03/04/2569,PV-260262,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2517.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 42
04/04/2569,JV-260263,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2554.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 43
05/04/2569,JR-260264,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2591.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 44
06/04/2569,RC-260265,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2628.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 45
07/04/2569,PV-260266,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2665.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 46
08/04/2569,JV-260267,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2702.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 47
09/04/2569,JR-260268,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2739.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 48
10/04/2569,RC-260269,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2776.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 49
11/04/2569,PV-260270,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2813.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 50
12/04/2569,JV-260271,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2850.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 51
13/04/2569,JR-260272,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2887.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 52
14/04/2569,RC-260273,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2924.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 53
15/04/2569,PV-260274,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2961.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 54
16/04/2569,JV-260275,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2998.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 55
17/04/2569,JR-260276,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3035.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 56
18/04/2569,RC-260277,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3072.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 57
19/04/2569,PV-260278,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,3109.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 58
20/04/2569,JV-260279,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,3146.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 59
21/04/2569,JR-260280,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3183.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 60
22/04/2569,RC-260281,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3220.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 61
23/04/2569,PV-260282,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,3257.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 62
24/04/2569,JV-260283,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,3294.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 63
25/04/2569,JR-260284,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3331.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 64
26/04/2569,RC-260285,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3368.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 65
27/04/2569,PV-260286,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,3405.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 66
28/04/2569,JV-260287,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,3442.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 67
29/04/2569,JR-260288,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3479.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 68
30/04/2569,RC-260289,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3516.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 69
01/05/2569,PV-260290,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,3553.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 70
02/05/2569,JV-260291,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,3590.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 71
03/05/2569,JR-260292,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3627.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 72
04/05/2569,RC-260293,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3664.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 73
05/05/2569,PV-260294,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,3701.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 74
06/05/2569,JV-260295,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,3738.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 75
07/05/2569,JR-260296,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3775.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 76
08/05/2569,RC-260297,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3812.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 77
09/05/2569,PV-260298,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,3849.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 78
10/05/2569,JV-260299,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,3886.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 79
11/05/2569,JR-260300,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3923.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 80
12/05/2569,RC-260301,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3960.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 81
13/05/2569,PV-260302,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,3997.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 82
14/05/2569,JV-260303,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,4034.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 83
15/05/2569,JR-260304,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,4071.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 84
16/05/2569,RC-260305,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,4108.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 85
17/05/2569,PV-260306,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,4145.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 86
18/05/2569,JV-260307,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,4182.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 87
19/05/2569,JR-260308,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,4219.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 88
20/05/2569,RC-260309,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,4256.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 89
21/05/2569,PV-260310,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,4293.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 90
22/05/2569,JV-260311,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,4330.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 91
23/05/2569,JR-260312,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,4367.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 92
24/05/2569,RC-260313,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,4404.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 93
25/05/2569,PV-260314,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,4441.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 94
26/05/2569,JV-260315,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,4478.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 95
27/05/2569,JR-260316,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,4515.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 96
28/05/2569,RC-260317,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,4552.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 97
29/05/2569,PV-260318,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,4589.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 98
30/05/2569,JV-260319,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,4626.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 99
31/05/2569,JR-260320,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,4663.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 100
